ID,PERMIT#,  PERMIT_TYPE,         ISSUE_DATE,        ESTIMATED_COST,         AMOUNT_WAIVED,   AMOUNT_PAID,    TOTAL_FEE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,  SUFFIX,WORK_DESCRIPTION,   PIN1,   PIN2,  PIN3,  PIN4, PIN5, PIN6, PIN7, PIN8, PIN9,     PIN10,CONTRACTOR_1_TYPE,CONTRACTOR_1_NAME,CONTRACTOR_1_ADDRESS,CONTRACTOR_1_CITY,CONTRACTOR_1_STATE,CONTRACTOR_1_ZIPCODE,CONTRACTOR_1_PHONE,CONTRACTOR_2_TYPE,CONTRACTOR_2_NAME,CONTRACTOR_2_ADDRESS,CONTRACTOR_2_CITY,CONTRACTOR_2_STATE,CONTRACTOR_2_ZIPCODE,CONTRACTOR_2_PHONE,CONTRACTOR_3_TYPE,CONTRACTOR_3_NAME,CONTRACTOR_3_ADDRESS,CONTRACTOR_3_CITY,CONTRACTOR_3_STATE,CONTRACTOR_3_ZIPCODE,CONTRACTOR_3_PHONE,CONTRACTOR_4_TYPE,CONTRACTOR_4_NAME,CONTRACTOR_4_ADDRESS,CONTRACTOR_4_CITY,CONTRACTOR_4_STATE,CONTRACTOR_4_ZIPCODE,CONTRACTOR_4_PHONE,CONTRACTOR_5_TYPE,CONTRACTOR_5_NAME,CONTRACTOR_5_ADDRESS,CONTRACTOR_5_CITY,CONTRACTOR_5_STATE,CONTRACTOR_5_ZIPCODE,CONTRACTOR_5_PHONE,CONTRACTOR_6_TYPE,CONTRACTOR_6_NAME,CONTRACTOR_6_ADDRESS,CONTRACTOR_6_CITY,CONTRACTOR_6_STATE,CONTRACTOR_6_ZIPCODE,CONTRACTOR_6_PHONE,CONTRACTOR_7_TYPE,CONTRACTOR_7_NAME,CONTRACTOR_7_ADDRESS,CONTRACTOR_7_CITY,CONTRACTOR_7_STATE,CONTRACTOR_7_ZIPCODE,CONTRACTOR_7_PHONE,CONTRACTOR_8_TYPE,CONTRACTOR_8_NAME,CONTRACTOR_8_ADDRESS,CONTRACTOR_8_CITY,CONTRACTOR_8_STATE,CONTRACTOR_8_ZIPCODE,CONTRACTOR_8_PHONE,CONTRACTOR_9_TYPE,CONTRACTOR_9_NAME,CONTRACTOR_9_ADDRESS,CONTRACTOR_9_CITY,CONTRACTOR_9_STATE,CONTRACTOR_9_ZIPCODE,CONTRACTOR_9_PHONE,CONTRACTOR_10_TYPE,CONTRACTOR_10_NAME,CONTRACTOR_10_ADDRESS,CONTRACTOR_10_CITY,CONTRACTOR_10_STATE,CONTRACTOR_10_ZIPCODE,CONTRACTOR_10_PHONE,CONTRACTOR_11_TYPE,CONTRACTOR_11_NAME,CONTRACTOR_11_ADDRESS,CONTRACTOR_11_CITY,CONTRACTOR_11_STATE,CONTRACTOR_11_ZIPCODE,CONTRACTOR_11_PHONE,CONTRACTOR_12_TYPE,CONTRACTOR_12_NAME,CONTRACTOR_12_ADDRESS,CONTRACTOR_12_CITY,CONTRACTOR_12_STATE,CONTRACTOR_12_ZIPCODE,CONTRACTOR_12_PHONE,CONTRACTOR_13_TYPE,CONTRACTOR_13_NAME,CONTRACTOR_13_ADDRESS,CONTRACTOR_13_CITY,CONTRACTOR_13_STATE,CONTRACTOR_13_ZIPCODE,CONTRACTOR_13_PHONE,CONTRACTOR_14_TYPE,CONTRACTOR_14_NAME,CONTRACTOR_14_ADDRESS,CONTRACTOR_14_CITY,CONTRACTOR_14_STATE,CONTRACTOR_14_ZIPCODE,CONTRACTOR_14_PHONE,CONTRACTOR_15_TYPE,CONTRACTOR_15_NAME,CONTRACTOR_15_ADDRESS,CONTRACTOR_15_CITY,CONTRACTOR_15_STATE,CONTRACTOR_15_ZIPCODE,CONTRACTOR_15_PHONE,LATITUDE,LONGITUDE,LOCATION
2646694,100588856,PERMIT - NEW CONSTRUCTION,03/22/2016,$200000.00,$0.00,$800.00,$800.00,4827,S,INDIANA,AVE,ERECT A (4A CONST) FRAME 2 STORY SINGLE FAMILY HOME WITH A DETACHED FRAME 2 CAR GARAGE AS PER PLANS (CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS),,,,,,,,,,,ARCHITECT,WOZNY ZENON,,,,,,CONTRACTOR-ELECTRICAL,"KUO CONSTRUCTION, INC.",3236 S NORMAL AVE,CHICAGO,IL,60616,(312)907-7273 X,EXPEDITOR,STERN GROUP CORPORATION,6041 N. NAVARRE AVE. FLOOR 3,CHICAGO,IL,60631-,(773)802-9937 x,CONTRACTOR-GENERAL CONTRACTOR,KASPER DEVELOPMENT LTD.,445 W. 41ST STREET,CHICAGO,IL,60609-,(773)633-0087,MASONRY CONTRACTOR,"LOLO CONSTRUCTION, INC.",445 W 41ST STR,CHICAGO,IL,60609,(708)341-6942,OWNER,"KASPER DEVELOPMENT, LTD.",445 W. 41ST ST. FLOOR 1ST,CHICAGO,IL,60609-,,CONTRACTOR-PLUMBER/PLUMBING,M. DIFOGGIO PLUMBING & SEWER,3216 S. SHIELD AVE,CHICAGO,IL,60616-,(312)791-0097 x,CONTRACTOR-REFRIGERATION,K & B HEATING & COOLING,310 S. OAKWOOD 1ST FLOOR,WILLOW SPRINGS,IL,60480-,,CONTRACTOR-VENTILATION,K & B HEATING & COOLING,310 S. OAKWOOD 1ST FLOOR,WILLOW SPRINGS,IL,60480-,,OWNER,JOSEPH SKIBA,10905 W. ATWOOD CT.,ORLAND PARK,IL,60467-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.806667438,-87.620996189,"(41.806667438159394, -87.62099618882563)"
2654062,100592829,PERMIT - WRECKING/DEMOLITION,03/22/2016,$1.00,$0.00,$500.00,$500.00,1051,W,CORNELIA,AVE,WRECK AND REMOVE A DETACHED FRAME RESIDENCE- FRONT BUILDING,14-20-409-029-0000,,,,,,,,,,CONTRACTOR-WRECKING,TAYLOR EXCAVATING/CONS,1765 N ELSTON SUITE 204,CHGO.,IL,60642-,(773)489-5387 x,OWNER,1051 W CORNELIA LLC,2934 W MONTROSE,CHICAGO,IL,60618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.94525019,-87.655988183,"(41.94525019039403, -87.65598818337101)"
2654066,100592831,PERMIT - WRECKING/DEMOLITION,03/22/2016,$1.00,$0.00,$500.00,$500.00,1051,W,CORNELIA,AVE,WRECK AND REMOVE A DETACHED FRAME COACH HOUSE AND DETACHED FRAME GARAGE IN REAR,14-20-409-029-0000,,,,,,,,,,CONTRACTOR-WRECKING,TAYLOR EXCAVATING/CONS,1765 N ELSTON SUITE 204,CHGO.,IL,60642-,(773)489-5387 x,OWNER,1051 W CORNELIA LLC,2934 W MONTROSE,CHICAGO,IL,60618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.94525019,-87.655988183,"(41.94525019039403, -87.65598818337101)"
2698151,100618055,PERMIT - SIGNS,03/23/2016,$25000.00,$0.00,$200.00,$200.00,4343,N,ELSTON,AVE,INSTALL D.F. ILLUMINATED PYLON WITH EMC - READING WINTRUST BANK MAYFAIR,,,,,,,,,,,SIGN CONTRACTOR,ICON IDENTITY SOLUTIONS,1418 ELMHURST ROAD,ELK GROVE VILLAGE,IL,60007,(847)631-3361,CONTRACTOR-ELECTRICAL,ICON IDENTITY SOLUTIONS,1418 ELMHURST ROAD,ELK GROVE VILLAGE,IL,60007,(847)631-3361,OWNER,JOFREY QUINTANAR,190 S LASALLE ST,CHICAGO,IL,60603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.959651548,-87.727626964,"(41.95965154835811, -87.72762696408924)"
2701039,100619620,PERMIT - SIGNS,03/22/2016,$500.00,$0.00,$200.00,$200.00,4146,S,PULASKI,RD,INSTALLATION OF NON-ILLUMINATED BLADE SIGN,,,,,,,,,,,SIGN CONTRACTOR,BRIGHT LIGHT SIGN,310 TELSER RD,LAKE ZURICH,IL,60047,(847)550-8902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.81716104,-87.724057294,"(41.81716103976552, -87.72405729427183)"
2701953,100620119,PERMIT - ELECTRIC WIRING,03/22/2016,$0.00,$0.00,$75.00,$75.00,345,N,CANAL,ST,INSTALLATION ONE WAY AND TWO WAY COMMUNICATIONS SYSTEM PER SECTION 13-196-204. ALSO MONITORING DET. DEVICES ON FCP. BASEMENT 1 THROUGH 16 FLOORS OCCUPANCY CLASSIFICATION IS A-2 RESIDENTIAL. ELEVATOR RECALL IS NOT PART OF THE SCOPE AND THE BUILDING IS NOT SPRINKLERED. CK#21772;$500.00.,17-09-306-011-1075,17-09-306-011-1114,17-09-306-011-1115,17-09-306-011-1116,17-09-306-012-0000,17-09-306-011-1103,17-09-306-011-1094,17-09-306-011-1095,17-09-306-011-1096,17-09-306-011-1099,CONTRACTOR-ELECTRICAL,CONTECH - MSI CO.,5200 NEWPORT DR.,ROLLING MEADOWS,IL,60008-3806,(847)774-6124 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.88816582,-87.639814813,"(41.888165819563646, -87.63981481294968)"
2703872,100621109,PERMIT - NEW CONSTRUCTION,03/22/2016,$750000.00,$0.00,$1500.00,$1500.00,1819,N,HALSTED,ST,"ERECT A 4 STORY , IIIB MASONRY 2 UNIT APARTMENT BUILDING  WITH BASEMENT AND ATTACHED PARKING GARAGE WITH FRONT DRIVE ACCESS, PER PLANS",14-33-300-121-0000,,,,,,,,,,OWNER,CONSETUS PARTNERS EQUITY FUND II LLC,406 N ABERDEEN,CHICAGO,IL,60642,,STRUCTURAL ENGINEER,COX MICHAEL S,,,,,,CONTRACTOR-ELECTRICAL,ARTIS ELECTRIC INCORPORATED,4340 W. 152ND ST.,MIDLOTHIAN,IL,60445-,(708)560-3224 X,EXPEDITOR,GC CONSULTING LLC,"120 W. MADISON ST. FLOOR 3, APT./SUITE 310",CHICAGO,IL,60602-,(630)550-0941 X,CONTRACTOR-GENERAL CONTRACTOR,I & M CONSTRUCTION 1 INC.,4050 NORTH LINCOLN,CHICAGO,IL,60618-,(773)478-0074 x,MASONRY CONTRACTOR,"KE MURPHY MASONRY, INC.",5544 W. CULLOM,CHICAGO,IL,60641,(773)427-8673 X,MASONRY CONTRACTOR,"PRO MC CONSTRUCTION, INC.","7421 W. ARCHER AVE, UNIT 1A",SUMMIT,IL,60457,(708)924-9100,CONTRACTOR-PLUMBER/PLUMBING,"JEFF & SONS PLUMBING, INC.",175 SUNFLOWER LANE,BARTLETT,IL,60103-,(630)497-0005 X,CONTRACTOR-REFRIGERATION,ART OF HEATING AND COOLING,10545 S KOSTNER,OAK LAWN,IL,60453-,(708)323-7993 x,CONTRACTOR-VENTILATION,ART OF HEATING AND COOLING,10545 S KOSTNER,OAK LAWN,IL,60453-,(708)323-7993 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.914400996,-87.648220588,"(41.91440099595778, -87.6482205875356)"
2706157,100622469,PERMIT - RENOVATION/ALTERATION,03/22/2016,$128245.00,$0.00,$375.00,$375.00,33,N,LA SALLE,ST,"SELF CERT: INTERIOR ALTERATIONS TO THE 9TH  FLOOR EXISTING TENANT SPACE, SUITE 910, AS PER PLANS. EXISTING USE BUSINESS   PROPOSED USE BUSINESS",17-09-459-001-0000,,,,,,,,,,SELF CERT ARCHITECT,EARLES DANIEL,,,,,,CONTRACTOR-ELECTRICAL,"KLASS ELECTRIC COMPANY, INC.",101 KELLY STREET - UNIT C,ELK GROVE VILLAGE,IL,60007,(847)437-5555,EXPEDITOR,"BURNHAM NATIONWIDE, INC.",111 W. WASHINGTON ST. APT./SUITE 450,CHICAGO,IL,60602-,(312)260-7086 x,CONTRACTOR-GENERAL CONTRACTOR,INTERIOR ALTERATIONS,200 W MONROE STREET SUITE 2150,CHICAGO,IL,60606,(312)454-1599,OWNER OCCUPIED,CFA SOCIETY OF CHICAGO,33 N LA SALLE ST,CHICAGO,IL,60602,,CONTRACTOR-PLUMBER/PLUMBING,"JOHNS PLUMBING, INC.",3116 N. CICERO AVE.,CHICAGO,IL,60641,(773)286-9030,CONTRACTOR-VENTILATION,AIR COMFORT CORPORATION,2550 W BRAGA DRIVE,BROADVIEW,IL,60155-,(708)345-1900 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.882797707,-87.632242081,"(41.88279770704961, -87.63224208140493)"
2706681,100622769,PERMIT - NEW CONSTRUCTION,11/06/2015,$500000.00,$0.00,$2742.00,$2742.00,3968,N,AVONDALE,AVE,Erect 4 story Mixed Use 3 Dwelling Unit Building with 580 sf Green Roof. PLANNED DEVELOPMENT. CERTIFIED CORRECTIONS** CONDITIONAL APPROVAL SUBJECT TO FIELD INSPECTION,13-22-203-013-0000,,,,,,,,,,ARCHITECT,HIRSCH HOWARD M,,,,,,CONTRACTOR-ELECTRICAL,"MAKS ELECTRIC, INC.",2708 W. FARRAGUT AVE,CHICAGO,IL,60625-,(773)418-5536,EXPEDITOR,CORNERSTONE PERMIT COMPANY,9408 W. 141ST ST.,ORLAND PARK,IL,60462-,(312)859-6876 X,CONTRACTOR-GENERAL CONTRACTOR,"JOHN JAMES CONSTRUCTION, INC",1215 WASHINGTON AVENUE SUITE100,WILMETTE,IL,60091-,(847)853-8000 x,MASONRY CONTRACTOR,MC ELDUFF MASONRY,686 CATALINA COURT,LINDENHURST,IL,60046,(847)774-3339 X,OWNER,"CP IRVING PARK, LLC",225 W HUBBARD 4TH FLOOR,CHICAGO,IL,60654-,,CONTRACTOR-PLUMBER/PLUMBING,ACCOMPLISHED J. PLUMBING,930 E NORTHWEST HWY,MOUNT PROSPECT,IL,60056-,(847)239-3529 X,CONTRACTOR-REFRIGERATION,MARKGRAF'S HEATING & AIR,3447 RDF RIDDEN VALLEY RD,LONG GROVE,IL,60047-,,CONTRACTOR-VENTILATION,MARKGRAF'S HEATING & AIR,3447 RDF RIDDEN VALLEY RD,LONG GROVE,IL,60047-,,OWNER,"CP IRVING PARK, LLC",225 W HUBBARD 4TH FLOOR,CHICAGO,IL,60654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.953108415,-87.731620545,"(41.95310841481873, -87.73162054450827)"
2707351,100623137,PERMIT - SIGNS,03/22/2016,$1200.00,$0.00,$200.00,$200.00,5454,S,STATE,ST,INSTALL DIRECTIONAL SIGN TO READ DRIVE THRU WITH ARROW,20-09-423-085-0000,,,,,,,,,,SIGN CONTRACTOR,STRICTLY NEON,4608 W. 137TH,CRESTWOOD,IL,60445,(708)597-1616,CONTRACTOR-ELECTRICAL,"MIDWEST SIGN & LIGHTING, INC.",4910 W. WILSHIRE BLVD.,COUNTRY CLUB HILLS,IL,60478-,(708)365-5555 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.794846557,-87.625853139,"(41.794846557345785, -87.62585313886994)"
